Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Drug_condition_and_replicate,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SAMPLE_TYPE,SRA Study,STRAIN,Subsample,Time_point_(passage)
SRR10553815,WCS,50,25544000,PRJNA592371,SAMN13423542,"Microbe\, viral or environmental",3304835,ETH ZURICH,2016-12/2017-01,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",Low CMP r1,SRX7236131,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-A1_passage-26_subsample-4,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-A1_passage-26_subsample-4,Culture,SRP233631,K-12 MG1655,4,26
SRR10553816,WCS,59,44226459,PRJNA592371,SAMN13423676,"Microbe\, viral or environmental",11346215,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",Low CMP r3,SRX7236130,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-C1_passage-30_subsample-2,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-C1_passage-30_subsample-2,Culture,SRP233631,K-12 MG1655,2,30
SRR10553817,WCS,59,45449883,PRJNA592371,SAMN13423675,"Microbe\, viral or environmental",11902617,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",Low CMP r3,SRX7236129,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-C1_passage-30_subsample-1,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-C1_passage-30_subsample-1,Culture,SRP233631,K-12 MG1655,1,30
SRR10553818,WCS,59,46146437,PRJNA592371,SAMN13423674,"Microbe\, viral or environmental",12350327,ETH ZURICH,2016-12/2017-01,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",Low CMP r3,SRX7236128,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-C1_passage-26_subsample-4,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-C1_passage-26_subsample-4,Culture,SRP233631,K-12 MG1655,4,26
SRR10553819,WCS,59,46937273,PRJNA592371,SAMN13423673,"Microbe\, viral or environmental",12558858,ETH ZURICH,2016-12/2017-01,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",Low CMP r3,SRX7236127,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-C1_passage-26_subsample-3,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-C1_passage-26_subsample-3,Culture,SRP233631,K-12 MG1655,3,26
SRR10553820,WCS,59,46285618,PRJNA592371,SAMN13423672,"Microbe\, viral or environmental",11679685,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",Low CMP r3,SRX7236126,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-C1_passage-26_subsample-2,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-C1_passage-26_subsample-2,Culture,SRP233631,K-12 MG1655,2,26
SRR10553821,WCS,59,47381720,PRJNA592371,SAMN13423671,"Microbe\, viral or environmental",12235361,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",Low CMP r3,SRX7236125,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-C1_passage-26_subsample-1,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-C1_passage-26_subsample-1,Culture,SRP233631,K-12 MG1655,1,26
SRR10553822,WCS,59,43574155,PRJNA592371,SAMN13423670,"Microbe\, viral or environmental",11027073,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",Low CMP r3,SRX7236124,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-C1_passage-20_subsample-4,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-C1_passage-20_subsample-4,Culture,SRP233631,K-12 MG1655,4,20
SRR10553823,WCS,59,44141794,PRJNA592371,SAMN13423669,"Microbe\, viral or environmental",11177378,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",Low CMP r3,SRX7236123,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-C1_passage-20_subsample-3,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-C1_passage-20_subsample-3,Culture,SRP233631,K-12 MG1655,3,20
SRR10553824,WCS,59,43495449,PRJNA592371,SAMN13423668,"Microbe\, viral or environmental",10321828,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",Low CMP r3,SRX7236122,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-C1_passage-20_subsample-2,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-C1_passage-20_subsample-2,Culture,SRP233631,K-12 MG1655,2,20
SRR10553825,WCS,59,44421867,PRJNA592371,SAMN13423667,"Microbe\, viral or environmental",10791653,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",Low CMP r3,SRX7236121,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-C1_passage-20_subsample-1,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-C1_passage-20_subsample-1,Culture,SRP233631,K-12 MG1655,1,20
SRR10553826,WCS,50,25810500,PRJNA592371,SAMN13423541,"Microbe\, viral or environmental",3181447,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",Low CMP r1,SRX7236120,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-A1_passage-26_subsample-3,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-A1_passage-26_subsample-3,Culture,SRP233631,K-12 MG1655,3,26
SRR10553827,WCS,59,48192911,PRJNA592371,SAMN13423666,"Microbe\, viral or environmental",14807119,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",Low CMP r3,SRX7236119,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-C1_passage-12_subsample-4,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-C1_passage-12_subsample-4,Culture,SRP233631,K-12 MG1655,4,12
SRR10553828,WCS,59,49073427,PRJNA592371,SAMN13423665,"Microbe\, viral or environmental",15047406,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",Low CMP r3,SRX7236118,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-C1_passage-12_subsample-3,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-C1_passage-12_subsample-3,Culture,SRP233631,K-12 MG1655,3,12
SRR10553829,WCS,59,48519889,PRJNA592371,SAMN13423664,"Microbe\, viral or environmental",14147519,ETH ZURICH,2016-12/2017-01,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",Low CMP r3,SRX7236117,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-C1_passage-12_subsample-2,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-C1_passage-12_subsample-2,Culture,SRP233631,K-12 MG1655,2,12
SRR10553830,WCS,59,49589028,PRJNA592371,SAMN13423663,"Microbe\, viral or environmental",14754429,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",Low CMP r3,SRX7236116,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-C1_passage-12_subsample-1,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-C1_passage-12_subsample-1,Culture,SRP233631,K-12 MG1655,1,12
SRR10553831,WCS,59,59169566,PRJNA592371,SAMN13423662,"Microbe\, viral or environmental",20266047,ETH ZURICH,2016-12/2017-01,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",Low CMP r3,SRX7236115,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-C1_passage-10_subsample-4,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-C1_passage-10_subsample-4,Culture,SRP233631,K-12 MG1655,4,10
SRR10553832,WCS,59,60389391,PRJNA592371,SAMN13423661,"Microbe\, viral or environmental",20513215,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",Low CMP r3,SRX7236114,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-C1_passage-10_subsample-3,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-C1_passage-10_subsample-3,Culture,SRP233631,K-12 MG1655,3,10
SRR10553833,WCS,59,59426452,PRJNA592371,SAMN13423660,"Microbe\, viral or environmental",19429353,ETH ZURICH,2016-12/2017-01,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",Low CMP r3,SRX7236113,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-C1_passage-10_subsample-2,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-C1_passage-10_subsample-2,Culture,SRP233631,K-12 MG1655,2,10
SRR10553834,WCS,59,61291560,PRJNA592371,SAMN13423659,"Microbe\, viral or environmental",20294005,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",Low CMP r3,SRX7236112,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-C1_passage-10_subsample-1,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-C1_passage-10_subsample-1,Culture,SRP233631,K-12 MG1655,1,10
SRR10553835,WCS,59,1018104,PRJNA592371,SAMN13423658,"Microbe\, viral or environmental",460998,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",Low CMP r3,SRX7236111,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-C1_passage-08_subsample-4,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-C1_passage-08_subsample-4,Culture,SRP233631,K-12 MG1655,4,8
SRR10553836,WCS,59,1029727,PRJNA592371,SAMN13423657,"Microbe\, viral or environmental",463654,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",Low CMP r3,SRX7236110,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-C1_passage-08_subsample-3,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-C1_passage-08_subsample-3,Culture,SRP233631,K-12 MG1655,3,8
SRR10553837,WCS,50,25673400,PRJNA592371,SAMN13423540,"Microbe\, viral or environmental",2856531,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",Low CMP r1,SRX7236109,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-A1_passage-26_subsample-2,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-A1_passage-26_subsample-2,Culture,SRP233631,K-12 MG1655,2,26
SRR10553838,WCS,59,1032146,PRJNA592371,SAMN13423656,"Microbe\, viral or environmental",452256,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",Low CMP r3,SRX7236108,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-C1_passage-08_subsample-2,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-C1_passage-08_subsample-2,Culture,SRP233631,K-12 MG1655,2,8
SRR10553839,WCS,59,1031792,PRJNA592371,SAMN13423655,"Microbe\, viral or environmental",456544,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",Low CMP r3,SRX7236107,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-C1_passage-08_subsample-1,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-C1_passage-08_subsample-1,Culture,SRP233631,K-12 MG1655,1,8
SRR10553840,WCS,50,19108050,PRJNA592371,SAMN13423654,"Microbe\, viral or environmental",2878923,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",Low CMP r2,SRX7236106,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-B1_passage-70_subsample-4,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-B1_passage-70_subsample-4,Culture,SRP233631,K-12 MG1655,4,70
SRR10553841,WCS,50,19089050,PRJNA592371,SAMN13423653,"Microbe\, viral or environmental",2810219,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",Low CMP r2,SRX7236105,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-B1_passage-70_subsample-3,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-B1_passage-70_subsample-3,Culture,SRP233631,K-12 MG1655,3,70
SRR10553842,WCS,50,19100850,PRJNA592371,SAMN13423652,"Microbe\, viral or environmental",2480074,ETH ZURICH,2016-12/2017-01,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",Low CMP r2,SRX7236104,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-B1_passage-70_subsample-2,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-B1_passage-70_subsample-2,Culture,SRP233631,K-12 MG1655,2,70
SRR10553843,WCS,50,18870050,PRJNA592371,SAMN13423651,"Microbe\, viral or environmental",2924517,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",Low CMP r2,SRX7236103,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-B1_passage-70_subsample-1,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-B1_passage-70_subsample-1,Culture,SRP233631,K-12 MG1655,1,70
SRR10553844,WCS,50,21927100,PRJNA592371,SAMN13423650,"Microbe\, viral or environmental",2399539,ETH ZURICH,2016-12/2017-01,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",Low CMP r2,SRX7236102,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-B1_passage-68_subsample-4,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-B1_passage-68_subsample-4,Culture,SRP233631,K-12 MG1655,4,68
SRR10553845,WCS,50,22220550,PRJNA592371,SAMN13423649,"Microbe\, viral or environmental",2334838,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",Low CMP r2,SRX7236101,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-B1_passage-68_subsample-3,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-B1_passage-68_subsample-3,Culture,SRP233631,K-12 MG1655,3,68
SRR10553846,WCS,50,21783400,PRJNA592371,SAMN13423648,"Microbe\, viral or environmental",2000153,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",Low CMP r2,SRX7236100,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-B1_passage-68_subsample-2,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-B1_passage-68_subsample-2,Culture,SRP233631,K-12 MG1655,2,68
SRR10553847,WCS,50,21689600,PRJNA592371,SAMN13423647,"Microbe\, viral or environmental",2438709,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",Low CMP r2,SRX7236099,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-B1_passage-68_subsample-1,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-B1_passage-68_subsample-1,Culture,SRP233631,K-12 MG1655,1,68
SRR10553848,WCS,50,25197700,PRJNA592371,SAMN13423539,"Microbe\, viral or environmental",3259499,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",Low CMP r1,SRX7236098,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-A1_passage-26_subsample-1,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-A1_passage-26_subsample-1,Culture,SRP233631,K-12 MG1655,1,26
SRR10553849,WCS,50,23518550,PRJNA592371,SAMN13423646,"Microbe\, viral or environmental",3631142,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",Low CMP r2,SRX7236097,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-B1_passage-66_subsample-4,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-B1_passage-66_subsample-4,Culture,SRP233631,K-12 MG1655,4,66
SRR10553850,WCS,50,23912800,PRJNA592371,SAMN13423645,"Microbe\, viral or environmental",3604070,ETH ZURICH,2016-12/2017-01,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",Low CMP r2,SRX7236096,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-B1_passage-66_subsample-3,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-B1_passage-66_subsample-3,Culture,SRP233631,K-12 MG1655,3,66
SRR10553851,WCS,50,23418850,PRJNA592371,SAMN13423644,"Microbe\, viral or environmental",3236948,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",Low CMP r2,SRX7236095,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-B1_passage-66_subsample-2,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-B1_passage-66_subsample-2,Culture,SRP233631,K-12 MG1655,2,66
SRR10553852,WCS,50,23255000,PRJNA592371,SAMN13423643,"Microbe\, viral or environmental",3664065,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",Low CMP r2,SRX7236094,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-B1_passage-66_subsample-1,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-B1_passage-66_subsample-1,Culture,SRP233631,K-12 MG1655,1,66
SRR10553853,WCS,50,3413650,PRJNA592371,SAMN13423642,"Microbe\, viral or environmental",631042,ETH ZURICH,2016-12/2017-01,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",Low CMP r2,SRX7236093,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-B1_passage-62_subsample-4,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-B1_passage-62_subsample-4,Culture,SRP233631,K-12 MG1655,4,62
SRR10553854,WCS,50,3521500,PRJNA592371,SAMN13423641,"Microbe\, viral or environmental",632092,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",Low CMP r2,SRX7236092,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-B1_passage-62_subsample-3,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-B1_passage-62_subsample-3,Culture,SRP233631,K-12 MG1655,3,62
SRR10553855,WCS,50,3392000,PRJNA592371,SAMN13423640,"Microbe\, viral or environmental",575754,ETH ZURICH,2016-12/2017-01,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",Low CMP r2,SRX7236091,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-B1_passage-62_subsample-2,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-B1_passage-62_subsample-2,Culture,SRP233631,K-12 MG1655,2,62
SRR10553856,WCS,50,3435400,PRJNA592371,SAMN13423639,"Microbe\, viral or environmental",638367,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",Low CMP r2,SRX7236090,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-B1_passage-62_subsample-1,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-B1_passage-62_subsample-1,Culture,SRP233631,K-12 MG1655,1,62
SRR10553857,WCS,50,23031800,PRJNA592371,SAMN13423638,"Microbe\, viral or environmental",4101797,ETH ZURICH,2016-12/2017-01,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",Low CMP r2,SRX7236089,Israel,Asia,Israel,NextSeq 500,not applicable,exp-1_well-B1_passage-58_subsample-4,SINGLE,PCR,GENOMIC,Escherichia coli,ILLUMINA,2019-11-29T00:00:00Z,exp-1_well-B1_passage-58_subsample-4,Culture,SRP233631,K-12 MG1655,4,58
